time,x,y,z,vx,vy,vz
0.0,6780000.0,0.0,0.0,0.0,7680.0,0.0
10.0,6779566.43182868,76798.3629901456,0.0,-86.71543132382065,7679.508893943645,0.0
20.0,6778265.701668331,153586.9043591813,0.0,-173.4360464724759,7678.035694346341,0.0
30.0,6776098.26159403,230355.81046878418,0.0,-260.01606878319274,7675.5825237231475,0.0
40.0,6773065.114317189,307095.2799935375,0.0,-346.58224691785136,7672.14876866783,0.0
50.0,6769166.01675135,383795.47999684204,0.0,-433.25451290252374,7667.726110173539,0.0
60.0,6764400.8370582415,460446.5706915872,0.0,-519.7599537291368,7662.329052787849,0.0
70.0,6758770.915025884,537038.8074933802,0.0,-606.202367517203,7655.957114531492,0.0
80.0,6752276.87780248,613562.4041114814,0.0,-692.5885368453455,7648.598643176346,0.0
90.0,6744918.885744799,690007.4737254581,0.0,-779.0446604214551,7640.246751847249,0.0
100.0,6736696.790485982,766364.1260778669,0.0,-865.4108361337917,7630.914097937367,0.0
110.0,6727611.777996213,842622.6193353771,0.0,-951.6066721495893,7620.619850610394,0.0
120.0,6717665.94749229,918773.3626009185,0.0,-1037.5192373441546,7609.370857646608,0.0
130.0,6706861.174253894,994806.678358316,0.0,-1123.4424797367053,7597.127410456918,0.0
140.0,6695198.273931232,1070712.7370690652,0.0,-1209.10384680164,7583.923226522762,0.0
150.0,6682679.543048936,1146481.8999425604,0.0,-1294.6053935674458,7569.74807771132,0.0
160.0,6669306.528298782,1222104.4708248398,0.0,-1379.9682924741828,7554.605070968158,0.0
170.0,6655080.302102338,1297570.6976859842,0.0,-1465.292129181698,7538.471259660694,0.0
180.0,6640002.567276699,1372870.9193761183,0.0,-1550.1889330243446,7521.419609646876,0.0
190.0,6624076.796312043,1447995.798312486,0.0,-1634.9034325014238,7503.401322371753,0.0
200.0,6607304.423035773,1522935.6114933838,0.0,-1719.5578557622302,7484.398240335539,0.0
210.0,6589687.042295957,1597680.6389025678,0.0,-1803.8594315738317,7464.447527050315,0.0
220.0,6571227.356298074,1672221.367241717,0.0,-1888.0614317190343,7443.5368179827265,0.0
230.0,6551927.190317725,1746548.2575437166,0.0,-1971.920616558328,7421.683055853415,0.0
240.0,6531789.960069385,1820651.9869963126,0.0,-2055.4461935041395,7398.9171286255205,0.0
250.0,6510818.78971795,1894523.2965706906,0.0,-2138.7069264731103,7375.1963806244485,0.0
260.0,6489015.95014449,1968152.575233748,0.0,-2221.821444749484,7350.5004699920155,0.0
270.0,6466383.333381413,2041530.1861265153,0.0,-2304.6662478250855,7324.862158017529,0.0
280.0,6442923.82761511,2114646.7497944315,0.0,-2387.1892423266436,7298.293241144332,0.0
290.0,6418640.571295216,2187492.944334907,0.0,-2469.419762222245,7270.787218628583,0.0
300.0,6393536.763262654,2260059.525694846,0.0,-2551.2806963987578,7242.380456863774,0.0
